velocity,throttle
-202.62,1
-202.78,1
-202.93,1
-203.08,1
-202.82,1
-202.56,1
-202.3,0.999
-202.04,0.999
-201.78,0.999
-201.52,0.999
-201.26,0.999
-201,0.999
-200.74,0.999
-200.48,0.999
-200.22,0.998
-199.95,0.998
-199.7,0.998
-199.43,0.998
-199.17,0.998
-198.91,0.998
-198.65,0.998
-198.39,0.997
-198.13,0.997
-197.87,0.997
-197.61,0.997
-197.35,0.997
-197.09,0.997
-196.82,0.997
-196.56,0.997
-196.31,0.996
-196.04,0.996
-195.78,0.996
-195.26,0.996
-195,0.996
-194.74,0.996
-194.48,0.996
-194.22,0.995
-193.96,0.995
-193.44,0.995
-193.18,0.995
-192.92,0.995
-192.65,0.995
-192.13,0.994
-191.87,0.994
-191.61,0.994
-191.35,0.994
-191.09,0.994
-190.83,0.994
-190.57,0.994
-190.31,0.993
-190.05,0.993
-189.53,0.993
-189.27,0.993
-189,0.993
-188.74,0.993
-188.48,0.993
-188.23,0.992
-187.96,0.992
-187.7,0.992
-187.44,0.992
-187.18,0.992
-186.92,0.992
-186.66,0.992
-186.4,0.991
-186.14,0.991
-185.62,0.991
-185.36,0.991
-185.09,0.991
-184.83,0.991
-184.58,0.991
-184.31,0.99
-184.05,0.99
-183.79,0.99
-183.53,0.99
-183.27,0.99
-183.01,0.99
-182.75,0.99
-182.23,0.989
-181.97,0.989
-181.71,0.989
-181.45,0.989
-181.19,0.989
-180.67,0.989
-180.4,0.988
-180.15,0.988
-179.88,0.988
-179.63,0.988
-179.36,0.988
-179.1,0.988
-178.84,0.988
-178.58,0.988
-178.32,0.987
-178.06,0.987
-177.8,0.987
-177.54,0.987
-177.28,0.987
-177.02,0.987
-176.76,0.987
-176.5,0.987
-176.24,0.986
-175.98,0.986
-175.72,0.986
-174.67,0.986
-174.15,0.985
-173.89,0.985
-173.37,0.985
-173.11,0.985
-172.59,0.985
-172.33,0.984
-172.07,0.984
-171.81,0.984
-171.55,0.984
-171.02,0.984
-170.76,0.984
-170.5,0.984
-170.24,0.983
-169.98,0.983
-169.72,0.983
-169.46,0.983
-169.2,0.983
-168.94,0.983
-168.68,0.983
-168.42,0.982
-168.16,0.982
-167.9,0.982
-167.64,0.982
-167.38,0.982
-167.12,0.982
-166.85,0.982
-166.6,0.982
-166.33,0.981
-166.07,0.981
-165.81,0.981
-165.55,0.981
-165.29,0.981
-165.03,0.981
-164.77,0.981
-164.51,0.981
-163.99,0.98
-163.73,0.98
-163.47,0.98
-163.21,0.98
-162.95,0.98
-162.69,0.98
-162.43,0.979
-162.17,0.979
-161.91,0.979
-161.65,0.979
-161.39,0.979
-161.13,0.979
-160.87,0.979
-160.6,0.979
-160.35,0.978
-160.08,0.978
-159.82,0.978
-159.56,0.978
-159.3,0.978
-158.78,0.978
-158.52,0.978
-158.26,0.977
-158,0.977
-157.74,0.977
-157.48,0.977
-157.22,0.977
-156.96,0.977
-156.7,0.977
-156.44,0.977
-156.18,0.976
-155.92,0.976
-155.66,0.976
-155.39,0.976
